State,Registered Weapons
Texas,"1,006,555"
Florida,"518,725"
Virginia,"423,707"
California,"406,360"
Pennsylvania,"348,167"
Georgia,"304,124"
Arizona,"258,691"
North Carolina,"222,166"
Ohio,"208,661"
Alabama,"194,920"
Washington,"165,534"
Indiana,"157,546"
Louisiana,"152,061"
Tennessee,"151,536"
Colorado,"149,382"
Illinois,"144,749"
Wyoming,"142,247"
Maryland,"136,257"
Arkansas,"133,981"
Minnesota,"129,825"
New Mexico,"122,968"
South Carolina,"119,205"
Nevada,"119,007"
Utah,"118,408"
Missouri,"113,351"
Michigan,"109,835"
Kentucky,"108,833"
Oklahoma,"103,368"
New Jersey,"102,228"
Oregon,"97,474"
Wisconsin,"95,430"
New York,"92,191"
Mississippi,"80,712"
Idaho,"76,425"
Connecticut,"74,874"
District of Columbia,"74,315"
New Hampshire,"72,433"
Kansas,"69,850"
South Dakota,"64,666"
Iowa,"54,178"
West Virginia,"50,963"
Massachusetts,"45,138"
Nebraska,"43,261"
Montana,"36,678"
North Dakota,"30,975"
Alaska,"28,237"
Maine,"21,396"
Vermont,"9,451"
Hawaii,"9,280"
Delaware,"6,092"
Rhode Island,"4,887"
