,Date,Location,Dead,Injured,Total,Description,State,Year
0,"November 2, 1999","Honolulu, Hawaii",7,0,7,"1999 Honolulu shootings: A service technician opened fire inside a Xerox building and killed seven people while an eighth escaped, he then held thirty-five school children inside the Hawaii Nature Center before surrendering to police.", Hawaii,1999
1,"September 15, 1999","Fort Worth, Texas",8,7,15,"Wedgwood Baptist Church shooting: During a concert in the church for teenagers, the perpetrator entered and shot and killed seven attendees and wounded seven others before committing suicide.", Texas,1999
2,"August 10, 1999","Los Angeles, California",1,5,6,"Los Angeles Jewish Community Center shooting: Affiliated with the Aryan Nations, the perpetrator killed one and wounded five when entering a Jewish community center.", California,1999
3,"July 27–29, 1999","Stockbridge and Atlanta, Georgia",10,13,23,"1999 Atlanta day trading firm shootings: The perpetrator bludgeoned his wife and two children to death within the two days before he entered two separate Buckhead firms. There, he shot fellow traders, killing an additional nine and wounding thirteen, committing suicide afterwards.", Georgia,1999
4,"July 2–4, 1999","Chicago, Urbana, Springfield, and Decatur, Illinois Bloomington, Indiana",3,10,13,"1999 Independence Day weekend shootings: Part of the Creativity Movement, the perpetrator killed former Northwestern University basketball coach Ricky Byrdsong and a Korean American Indiana University graduate student Won-Joon Yoon as well as wounding a black minister and nine Orthodox Jews before killing himself.", Indiana,1999
5,"June 3, 1999","Las Vegas, Nevada",4,1,5,1999 Las Vegas shooting: A man entered an Albertson's supermarket and shot indiscriminately with a shotgun. He killed four people and wounded another before being arrested.[240], Nevada,1999
6,"April 20, 1999","Columbine, Colorado",15,24,39,Columbine High School massacre: Two students from the school shot and killed twelve classmates and a teacher. They died from suicide., Colorado,1999
7,"November 29, 1998","Muskegon, Michigan",5,0,5,Muskegon shooting: An 18-year-old man shot and killed four family members and another person at their home. He was arrested shortly after.[241], Michigan,1998
8,"July 24, 1998","Washington, D.C.",2,3[n 1],5,"1998 United States Capitol shooting: A schizophrenic man entered the United States Capitol, where he shot four people, two fatally, before being shot by police and taken into custody.[242]", D.C.,1998
9,"July 5, 1998","Tacoma, Washington",5,5,10,"Trang Dai massacre: Four gunmen entered the Trang Dai Cafe and opened fire, killing five diners and wounding five others.", Washington,1998
10,"May 21, 1998","Springfield, Oregon",4,25,29,Thurston High School shooting: An expelled student targeted his parents and the school and killed four people and injured twenty-five others before being arrested., Oregon,1998
